File: multi-false.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_space
Time: 2026-09-17 09:30:01 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 534.03MB, 100% of 534.03MB total
      flat  flat%   sum%        cum   cum%
    0.50MB 0.094% 99.63%     0.50MB 0.094%  vortex.local/simulator/timing/memsys.validateGlobal
         0     0% 99.63%     0.50MB 0.094%  vortex.local/simulator/timing/runner.(*runnerMemory).services
    0.50MB 0.094% 99.72%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Buffer).Contents
         0     0% 99.72%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Scoreboard).evaluate
         0     0% 99.72%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Commit).Evaluate
    0.50MB 0.094% 99.81%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Merge).Evaluate
    0.50MB 0.094% 99.91%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Scheduler).Evaluate
         0     0% 99.91%     0.50MB 0.094%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).Schedule
    0.50MB 0.094%   100%     0.50MB 0.094%  github.com/sarchlab/akita/v5/timing.(*unsafeEventQueue).Push
         0     0%   100%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*Collector).Evaluate
         0     0%   100%     0.50MB 0.094%  vortex.local/simulator/timing/model.(*edgeDriver).schedule
