File: multi-true.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_space
Time: 2026-09-17 09:30:45 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 508.94MB, 100% of 508.94MB total
      flat  flat%   sum%        cum   cum%
         0     0% 98.13%        1MB   0.2%  vortex.local/simulator/timing/effects.(*Adapter).newDelivery
         0     0% 98.13%        1MB   0.2%  vortex.local/simulator/timing/effects.(*Adapter).serviceMemory
         0     0% 98.13%        1MB   0.2%  vortex.local/simulator/timing/effects.(*Concurrent).AcceptMemoryResult
         0     0% 98.13%        1MB   0.2%  vortex.local/simulator/timing/runner.(*runnerMemory).receive
       1MB   0.2% 98.33%        1MB   0.2%  vortex.local/simulator/timing/model.(*Fetch).Resources
       1MB   0.2% 98.53%        1MB   0.2%  vortex.local/simulator/timing/memsys.(*Cache).Responses (inline)
    0.50MB 0.098% 98.62%        1MB   0.2%  vortex.local/simulator/timing/effects.(*Concurrent).Pending
    0.50MB 0.098% 98.72%        1MB   0.2%  vortex.local/simulator/timing/model.(*WaitPool).Evaluate
       1MB   0.2% 98.92%        1MB   0.2%  vortex.local/simulator/timing/model.(*Divider).Evaluate
    0.50MB 0.098% 99.02%     0.50MB 0.098%  vortex.local/simulator/emu/state.(*WarpState).StageEffects
         0     0% 99.02%     0.50MB 0.098%  vortex.local/simulator/emu/state.NewLatchedOperandCapture
    0.50MB 0.098% 99.12%     0.50MB 0.098%  vortex.local/simulator/emu/state.NewOperandCapture
         0     0% 99.12%     0.50MB 0.098%  vortex.local/simulator/timing/effects.(*Adapter).newCapture
    0.50MB 0.098% 99.21%     0.50MB 0.098%  vortex.local/simulator/timing/memsys.(*System).Step.func2
    0.50MB 0.098% 99.31%     0.50MB 0.098%  vortex.local/simulator/timing/memsys.(*LocalMemory).Responses
         0     0% 99.31%     0.50MB 0.098%  vortex.local/simulator/timing/memsys.(*LocalMemory).Step
    0.50MB 0.098% 99.41%     0.50MB 0.098%  vortex.local/simulator/timing/memsys.(*Cache).MemoryOffers
         0     0% 99.41%     0.50MB 0.098%  vortex.local/simulator/timing/memsys.(*Cache).validate
    0.50MB 0.098% 99.51%     0.50MB 0.098%  vortex.local/simulator/timing/model.(*WaitPool).Pending
    0.50MB 0.098% 99.61%     0.50MB 0.098%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).RegisterHandler
    0.50MB 0.098% 99.71%     0.50MB 0.098%  vortex.local/simulator/timing/model.(*Scheduler).Evaluate
         0     0% 99.71%     0.50MB 0.098%  vortex.local/simulator/timing/model.(*Collector).Evaluate
    0.50MB 0.098% 99.80%     0.50MB 0.098%  internal/reflectlite.Swapper
         0     0% 99.80%     0.50MB 0.098%  sort.Slice
         0     0% 99.80%     0.50MB 0.098%  vortex.local/simulator/timing/effects.(*Concurrent).keys
    0.50MB 0.098% 99.90%     0.50MB 0.098%  vortex.local/simulator/timing/model.(*CSR).Evaluate
    0.50MB 0.098%   100%     0.50MB 0.098%  vortex.local/simulator/timing/model.(*Commit).Evaluate
         0     0%   100%     0.50MB 0.098%  vortex.local/simulator/timing/model.(*Dispatch).Evaluate
